Year,REF_AREA,"Agriculture, forestry, and fishing, value added (% of GDP)","Energy productivity, GDP per unit of TES","Industry (including construction), value added (% of GDP)","Production-based CO2 productivity, GDP per unit of energy-related CO2 emissions",Real GDP per capita,"Services, value added (% of GDP)"
2011,KHM,0.24714015198837533,9.010168441,0.23634161405728926,2.190535589,7.886690239,0.32989802304367805
2021,KHM,0.15618644396686374,8.985737006,0.3387589672016187,1.821318271,8.295373763,0.31105863577054466
2009,KHM,0.24755767752109167,8.957434535,0.2276654425364317,2.180417459,7.791245921,0.3349539488912159
2010,KHM,0.2458774992654263,8.962624888,0.23118234148557187,2.159868791,7.833588338,0.33447575855594913
2020,KHM,0.15734259994014393,8.941630517,0.3181454094104632,1.785070481,8.280333502,0.3303365610886259
2014,KHM,0.2004382473572745,9.07400276,0.261725535138722,2.141241943,8.052417473,0.34846196033146376
2005,KHM,0.2425209030955363,8.836658774,0.24231262109245788,2.395164274,7.586626035,0.3318482524651891
2008,KHM,0.24712634716622656,9.021929111,0.23150526811672056,2.337952237,7.806138626,0.3327973603844441
2018,KHM,0.15270347227025047,9.089629304,0.3138717867527607,1.975468951,8.270949883,0.33804422254650807
2013,KHM,0.21871098278117543,9.083406596,0.2543175129493015,2.264883226,7.998268189,0.3393691422496172
2019,KHM,0.14356779093714697,9.040989925,0.3296317127804511,1.845300236,8.326473267,0.33029408393532667
2007,KHM,0.22686165698464514,8.966209367,0.24795350414189754,2.298577072,7.756567706,0.3305052394500445
2006,KHM,0.23337695417792348,8.91260527,0.2551848819577732,2.388762789,7.674120393,0.33011462692380367
2012,KHM,0.23740418262964003,9.038551551,0.24381662162571013,2.208274414,7.942252068,0.33217972123069617
2017,KHM,0.16439667163602778,9.081203879,0.29489162778896527,1.903598951,8.211368872,0.3465520696968099
2015,KHM,0.1834946093320502,9.073201337,0.27356214278067575,2.034705648,8.105138419,0.3521086686541152
2014,LAO,0.16423219132622283,9.438698305,0.25320708518643775,2.485739636,8.658333314,0.36573750480110623
2011,LAO,0.18889370616381113,9.330105442,0.2686213419121319,2.568021556,8.472739611,0.3490654143673139
2013,LAO,0.16492526834075943,9.405895642,0.26564892252853634,2.463853241,8.598773178,0.35411671465882877
